PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
Mordvinian,mor-dvi-nee--uh-n,Uzbekistan,14500,Erzya,Christianity - Eastern Orthodox,41.333227,69.207196,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A003,C0073,106791,Mordvin-Erzya,UZB,UZ,RS,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,UZB,mordv-inian
Morerebi,more-rebi,Brazil,100,Morerebi,Ethnoreligion - Animism,-8.118,-62.938,0,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,106795,Morerebi,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,BRA,more-rebi
Mori Atas,mori atas,Indonesia,21000,Mori Atas,Islam - Sunni,-2.2555,121.03505,4,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0057,106797,Mori Atas,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,mori atas
Mori Bawah,mori bawah,Indonesia,21000,Mori Bawah,Christianity - Evangelical Protestant,-2.1518,121.2747,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0218,106798,Mori Bawah,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,mori bawah
Moroccan Jews,moro-cca-n jews,Morocco,2200,Judeo-Moroccan Arabic,Judaism,33.559681,-7.640136,1,Unengaged,Strenuous,Partly Free,High,Moderate,Level 2: Exercise Increased Caution,A006,C0102,104318,"""Jew"," Judeo-Moroccan""",MAR,MO,IS,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,MAR,moro-ccan jews
Moronene,moro-nene,Indonesia,43000,Moronene,Islam - Sunni,-4.62361,121.82364,1,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0057,106807,Moronene,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IDN,moro-nene
Mortlockese,mor-tlo-ckee-z,Micronesia,5800,Mortlockese,Christianity - Roman Catholicism,6.897863,152.738356,1,Unengaged,Strenuous,Free,Low,Low,Level 1: Exercise Normal Precautions,A010,C0139,106810,Mortlockese,FSM,FM,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,FSM,mortl-ockese
Moru,moru,United States,2100,Moru,Ethnoreligion,32.715413,-96.813646,1,Unengaged,Little,Free,Moderate,High,Caution,A013,C0203,106811,Moru,USA,US,OD,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,USA,moru
Moruas,morua-s,Vanuatu,375,Morouas,Ethnoreligion - Animism,-15.34978,166.89055,4,Unengaged,Strenuous,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A010,C0227,106813,Moruas,VUT,NH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,VUT,moruas
Mossi,mossi,Benin,54000,Moore,Ethnoreligion - Animism,10.807,1.1412,1,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0087,106781,Mossi,BEN,BN,UV,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""50","000+""",Diaspora,BEN,mossi
Mossi,mossi,Ghana,501000,Moore,Ethnoreligion,5.5674,-0.2339,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0087,106781,Mossi,GHA,GH,UV,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""100","000+""",Diaspora,GHA,mossi
Mossi,mossi,Mali,111000,Moore,Ethnoreligion - Animism,13.81446,-3.02333,1,Unengaged,Extreme,Not Free,Low,Moderate,Level 4: Do Not Travel,A013,C0087,106781,Mossi,MLI,ML,UV,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""100","000+""",Diaspora,MLI,mossi
Mossi,mossi,Niger,246000,Moore,Ethnoreligion,13.525465,2.111432,1,Unengaged,Extreme,Partly Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0087,106781,Mossi,NER,NG,UV,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""100","000+""",Diaspora,NER,mossi
Mossi,mossi,Togo,44000,Moore,Ethnoreligion,11.00444,0.1868,1,Unengaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0087,106781,Mossi,TGO,TO,UV,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,TGO,mossi
Mossi,mossi,United States,1100,Moore,Islam - Sunni,40.853756,-73.871371,4,Unengaged,Little,Free,Moderate,High,Caution,A013,C0087,106781,Mossi,USA,US,UV,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,mossi
Mosuo,mosuo,China,70500,Narua,Buddhism - Tibetan,27.676267,100.767869,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114230,Mosuo,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,CHN,mosuo
"""Motilon",moti-lon,,United States,1100,Barí,Christianity - Non-Evangelical Protestant,40.779778,-73.832812,6,Unengaged,Little,Free,Moderate,High,Caution,A007,C0010,106823,"""Motilone"," Bari""",USA,US,CO,,,American Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,mot-ilon bari
"""Motilon",moti-lon,,Venezuela,2100,Barí,Ethnoreligion,9.28923,-72.70843,1,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A007,C0010,106823,"""Motilone"," Bari""",VEN,VE,CO,,,American Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,VEN,mot-ilon bari
Movima,movi-ma,Bolivia,14000,Movima,Ethnoreligion,-13.81152,-65.63482,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A007,C0201,106833,Movima,BOL,BL,,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,BOL,movima
Mozambican,moza-mbi-can,Canada,1300,Portuguese,Ethnoreligion,43.650993,-79.412896,1,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A013,C0173,117680,Mozambican,CAN,CA,MZ,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Diaspora,CAN,mozam-bican
Mozambican,moza-mbi-can,Portugal,40500,Portuguese,Christianity - Roman Catholicism,38.784756,-9.144698,6,Unengaged,Low,Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0173,106838,"""Mozambican"," Mestizo""",PRT,PO,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Diaspora,PRT,mozam-bican
Mozambican,moza-mbi-can,United States,2400,Portuguese,Ethnoreligion,40.857779,-73.865945,1,Unengaged,Little,Free,Moderate,High,Caution,A013,C0173,117680,Mozambican,USA,US,MZ,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Diaspora,USA,mozam-bican
Mozhihei,moz-hihei,China,5900,Mandarin Chinese,Ethnoreligion,28.262181,109.946034,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114231,Mozhihei,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,mozh-ihei
Mpi,mpi,Thailand,1500,Mpi,Ethnoreligion - Animism,18.17175,100.20957,1,Unengaged,Medium,Partly Free,Moderate,High,Level 1: Exercise Normal Precautions,A014,C0229,106842,Mpi,THA,TH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,THA,mpi
Mro-Khimi,mro--khi-mi,Myanmar,75000,Mro-Khimi,Christianity - Evangelical Protestant,20.52265,93.3656,6,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A012,C0332,104976,Khumi Awa Chin,MMR,BM,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,MMR,mro--khimi
Mualang,mua-lan-g,Indonesia,44500,Mualang,Ethnoreligion - Animism,0.31083,111.07699,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0059,106849,Mualang,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,mua-lang
Mubi,mubi,Chad,102000,Mubi,Islam - Sunni,12.68932,19.59024,0,Unengaged,Extreme,Not Free,High,Moderate,Level 3: Reconsider Travel,A013,C0062,106851,Mubi,TCD,CD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,TCD,mubi
Muda,muda,China,3000,Hani,Ethnoreligion - Chinese Folk Religion,21.980276,100.854308,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0089,114232,Muda,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,muda
Mudugar,mudu-gar,India,2400,Muthuvan,Hinduism,11.016845,76.955832,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,113143,Mudugar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mud-ugar
Mugat,mugat,Tajikistan,23500,Tajik,Islam - Shia,40.2922,70.4326,1,Unengaged,Strenuous,Not Free,High,Low,Level 2: Exercise Increased Caution,A003,C0279,118183,Mugat,TJK,TI,,,,Central Asian Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,TJK,mugat
Muinane,mui-nane,Colombia,550,Muinane,Ethnoreligion,-0.712603,-72.403501,1,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,106868,Muinane,COL,CO,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,COL,mui-nane
Mujavar,muja-var,India,700,Kacchi,Islam - Sunni,23.68846133553481,69.20593141845696,1,Unengaged,,,,,,A012,C0333,119477,Mujavar,IND,IN,,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,muj-avar
Mujavir,muja-vir,India,6900,Urdu,Islam - Sunni,28.125,78.90826,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0043,118962,Mujavir,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,muj-avir
Muji Northern,muji nor-the-rn,China,17000,Northern Muji,Ethnoreligion - Animism,23.1793,103.5292,0,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,116884,"""Muji"," Northern""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,muji nort-h-ern
Mukeri,muke-ri,India,38000,Urdu,Islam - Sunni,25.24003,86.984512,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,113060,"""Mochi"," Muslim""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,mukeri
Mukhi,mukhi,India,23500,Assamese,Hinduism,26.498923,90.966984,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0022,115631,Mukhi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,mukhi
Mukkari,muk-kari,India,2400,Malayalam,Hinduism,12.510224,74.985168,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112007,Mukkari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,muk-kari
Mulatto,mula-tto,Anguilla,16500,Leeward Caribbean English Creole,Christianity - Non-Evangelical Protestant,18.222323,-63.060977,5,Unengaged,Medium,Free,Moderate,High,Level 1: Exercise Normal Precautions,A009,C0254,106882,"""Antiguan"," mixed""",AIA,AV,SC,,,American Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,AIA,mul-atto
Muli,muli,India,22500,Telugu,Hinduism,18.57106,84.019651,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113150,Muli,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,muli
Mundala,mun-dala,India,37500,Tulu,Hinduism,12.867419,74.866458,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113152,Mundala,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,mun-dala
Mundapotta,mun-dapo-tta,India,1600,Telugu,Hinduism,20.273834,84.083744,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113153,Mundapotta,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,munda-potta
Munggui,mun-ggui,Indonesia,1400,Munggui,Ethnoreligion - Animism,-1.663,135.8699,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0123,106906,Munggui,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,mun-ggui
Munji-Yidgha,mun-ji--yid-gha,Afghanistan,8300,Munji,Islam - Shia,35.93207,70.94044,1,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A012,C0321,106912,Munji,AFG,AF,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,AFG,munji--yidgha
Munnewar,mun-newa-r,India,600,Chhattisgarhi,Hinduism,21.899158,83.426953,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113074,Munnewar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,munn-ewar
Murego-Gubden,mure-go--gub-den,Russian Federation,39000,Dargwa,Islam - Sunni,42.51275,47.63657,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A003,C0061,119392,Murego-Gubden,RUS,RS,,,,Central Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Diaspora,RUS,murego--gubden
Murhid,mur-hid,India,700,Hindi,Islam - Sunni,27.6094,75.139911,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,113155,Murhid,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,murhid
Murik Kayan,murik kayan,Malaysia,2700,Murik (Malaysia),Ethnoreligion - Animism,3.590362,114.430041,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,106923,Murik Kayan,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,MYS,murik kayan
Musari,musa-ri,India,4500,Malayalam,Hinduism,9.981636,76.299884,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113162,Musari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,musari
Mushungulu,mus-hun-gulu,Somalia,37500,Mushungulu,Islam - Sunni,0.00689,42.66256,1,Unengaged,Extreme,Not Free,High,High,Level 4: Do Not Travel,A013,C0275,106940,Mushungulu,SOM,SO,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SOM,mush--ungulu
Muskhan,mus-kha-n,India,550,Bagheli,Hinduism,24.53,81.3,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,113163,Muskhan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mus-khan
Mussulman Gypsy,mus-sul-man gypsy,Israel,14000,Domari,Islam - Sunni,31.77501,35.21809,1,Unengaged,Little,Free,High,Very High,Other,A005,C0278,102682,Domari,ISR,IS,EG,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Diaspora,ISR,muss-ulman gypsy
Musti Chenchu,musti che-nchu,India,1800,Telugu,Hinduism,16.298643,80.093177,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112924,Musti Chenchu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,musti ch-e-nch-u
Muttatu,mut-tatu,India,700,Malayalam,Hinduism,8.4875,76.9525,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113167,Muttatu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mut-tatu
Mutwa,mutwa,India,1400,Kacchi,Hinduism - Folk,23.666123,69.6004,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,113169,Mutwa,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,mutwa
Muzi,muzi,China,2400,Nuosu,Ethnoreligion - Chinese Folk Religion,23.1876,103.3876,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114236,Muzi,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,muzi
Mwera,mwera,Tanzania,928000,Mwera (Chimwera),Islam - Sunni,-10.096581,38.800944,1,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0035,106984,"""Mwera"," Chimwera""",TZA,TZ,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,TZA,mwera
Myen,myen,Laos,750,Burmese,Ethnoreligion,21.189654,101.153589,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A014,C0058,101776,Burmese,LAO,LA,BM,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,LAO,myen
Myene,myene,Gabon,90500,Myene,Christianity - Non-Evangelical Protestant,0.4227,9.434,1,Unengaged,Medium,Not Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0271,106986,Myene,GAB,GB,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,GAB,myene
Mynky,mynky,Brazil,80,Portuguese,Ethnoreligion,-12.25,-58.5,1,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,114681,Mynky,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,BRA,mynky
Mzab,mzab,Algeria,195000,Tumzabt,Islam - Folk,32.50135,3.85035,1,Unengaged,Medium,Not Free,Very High,High,Level 2: Exercise Increased Caution,A001,C0045,106837,"""Amazigh"," Mozabite""",DZA,AG,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,DZA,mzab
Na,na,India,100,Na,Buddhism - Folk,28.382818,93.264924,0,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,113187,Na,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,na
Naath,naath,Ethiopia,237000,Nuer,Christianity - Evangelical Protestant,8.3023,33.6867,6,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A013,C0153,106990,"""Nuer"," Naath""",ETH,ET,OD,,,Northern African and Middle Eastern Peoples,,2,No Longer Unreached,"""100","000+""",Indigenous,ETH,naath-
Nabi,nabi,Indonesia,900,Kuri,Ethnoreligion - Animism,-2.4941,134.0034,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0123,106994,Nabi,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,nabi
Nadeb Maku,nadeb maku,Brazil,600,Nadëb,Ethnoreligion - Animism,-1.266667,-66.183333,5,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,106999,Nadeb Maku,BRA,BR,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,BRA,nadeb maku
Nador,nador,India,6200,Kannada,Hinduism,14.429064,74.418597,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,118963,Nador,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,nador
Nafri,nafri,Indonesia,3300,Papuan Malay,Christianity - Evangelical Protestant,-2.65036,140.72696,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,107004,Nafri,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,nafri
"""Naga",naga,,United States,100,Tangkhul Naga (India),Christianity - Evangelical Protestant,32.8781,-96.7556,6,Unengaged,Little,Free,Moderate,High,Caution,A012,C0334,113738,"""Naga"," Tangkhul""",USA,US,,,,South Asian Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,naga tang-khul
Nagavamsam,naga-vam-sam,India,112000,Telugu,Hinduism,18.2305,83.625786,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,113198,Nagavamsam,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IND,nagav-amsam
Nagbansi,nag-ban-si,India,30500,Sadri,Hinduism,23.795653,86.430386,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,115213,Nagbanshi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,nagb-ansi
Nagbansi (Dogri),nag-ban-si (do-gri-),India,1700,Dogri,Hinduism,33.049824,75.081163,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118668,"""Nagbansi"," Dogri""",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,nagb-ansi (do-gri)
Nagda,nagda,India,40000,Wagdi,Hinduism,24.57127,73.691544,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0296,115214,Nagda,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,nagda
Nagekeo,nage-keo,Indonesia,56000,Ke’o,Christianity - Roman Catholicism,-8.8704,121.25556,1,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,104850,Keo,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IDN,nag-ekeo
Nahal,nahal,India,94500,Nimadi,Hinduism,21.170158,77.297708,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0148,117987,Korku Nahal,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IND,nahal
Naheng,nahe-ng,China,1900,Naxi,Ethnoreligion - Chinese Folk Religion,26.8884,100.929575,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114237,Naheng,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,naheng
